"a_i_generated.descriptionBlocks","Description Blocks","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/a_i_generated.descriptionBlocks"
"a_i_generated.descriptionHtml","Description Html","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/a_i_generated.descriptionHtml"
"a_i_generated.ropiScore","Ropi Score","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/a_i_generated.ropiScore"
"a_i_generated.seoName","Seo Name","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/a_i_generated.seoName"
"a_i_generated.smartDetectSummary","Smart Detect Summary","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/a_i_generated.smartDetectSummary"
"a_i_generated.templateKey","Template Key","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/a_i_generated.templateKey"
"a_i_generated.templateOverrideKey","Template Override Key","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/a_i_generated.templateOverrideKey"
"a_i_generated.validationFlags","Validation Flags","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/a_i_generated.validationFlags"
"ageGroup",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/ageGroup"
"age_group","Age Group","enum","[""Adult"",""Kids"",""Infant"",""Toddler"",""Teen""]",,,"json","system","2025-12-09T00:56:17.705Z","2025-12-09T00:56:31.132Z","system","active","no","settings/attributes/keys/age_group"
"brand",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/brand"
"care_instructions","Care Instructions","string","[]",,,"json","system","2025-12-09T00:56:21.023Z","2025-12-09T00:56:33.620Z","system","active","no","settings/attributes/keys/care_instructions"
"category",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/category"
"class",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/class"
"closureType",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/closureType"
"closure_type","Closure Type","enum","[""Lace-Up"",""Slip-On"",""Buckle"",""Zipper"",""Velcro"",""Elastic"",""Button"",""Hook & Loop"",""Toggle""]",,,"json","system","2025-12-09T00:56:20.220Z","2025-12-09T00:56:32.888Z","system","active","no","settings/attributes/keys/closure_type"
"color",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/color"
"coreProduct",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/coreProduct"
"country_of_origin","Country of Origin","string","[]",,,"json","system","2025-12-09T00:56:20.856Z","2025-12-09T00:56:33.467Z","system","active","no","settings/attributes/keys/country_of_origin"
"custom2",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/custom2"
"custom3",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/custom3"
"cutType",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/cutType"
"department",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/department"
"description",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/description"
"descriptionBlocks",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/descriptionBlocks"
"descriptionHtml",,"string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/descriptionHtml"
"descriptive.ageGroup","Age Group","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/descriptive.ageGroup"
"descriptive.closureType","Closure Type","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/descriptive.closureType"
"descriptive.cutType","Cut Type","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/descriptive.cutType"
"descriptive.description","Description","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/descriptive.description"
"descriptive.descriptiveColor","Descriptive Color","string","[]",,,"unknown",,,,,"active","no","settings/attributes/keys/descriptive.descriptiveColor"
